S.N,Date,Open,High,Low,Close,per_change,Qty,Turnover,EPS,PE
487.0,2023-01-08,789.0,803.0,784.0,790.1,0.01,100573.0,80126145.2,60.77,13.0014809939115
486.0,2023-01-09,790.0,821.0,781.0,804.0,1.76,208228.0,167866818.1,60.77,13.230212275794
485.0,2023-01-10,811.0,835.0,796.0,805.0,0.12,205989.0,167243233.8,60.77,13.2466677636992
484.0,2023-01-12,821.1,828.0,801.1,803.0,-0.25,157664.0,127827710.0,60.77,13.2137567878888
483.0,2023-01-17,819.0,820.0,796.1,816.3,1.66,99350.0,80485774.6,56.77,14.3790734542892
482.0,2023-01-18,820.0,825.0,804.0,811.0,-0.65,94624.0,77149905.9,56.77,14.2857142857143
481.0,2023-01-19,811.0,850.0,804.1,845.0,4.19,216337.0,180444653.5,56.77,14.8846221595913
480.0,2023-01-23,861.9,861.9,831.0,835.0,-1.18,151120.0,127577972.5,56.77,14.7084727849216
479.0,2023-01-24,849.5,850.0,825.1,832.0,-0.36,90781.0,75309260.2,56.77,14.6556279725207
478.0,2023-01-25,844.9,844.9,823.0,825.0,-0.84,72897.0,60387897.7,56.77,14.5323234102519
477.0,2023-01-26,832.0,833.5,818.0,824.0,-0.12,76729.0,63437273.0,56.77,14.5147084727849
476.0,2023-01-29,823.0,833.6,820.0,826.0,0.24,86314.0,71318301.1,56.77,14.5499383477189
475.0,2023-01-30,820.0,830.0,810.5,811.9,-1.71,92484.0,75752768.3,56.77,14.3015677294346
474.0,2023-01-31,815.0,820.0,803.6,808.5,-0.42,87591.0,71083403.6,56.77,14.2416769420469
473.0,2023-02-01,802.0,823.0,802.0,815.1,0.82,58462.0,47607453.9,56.77,14.3579355293289
472.0,2023-02-02,815.1,825.0,802.0,810.4,-0.58,67366.0,55040183.5,56.77,14.2751453232341
471.0,2023-02-05,811.0,825.0,811.0,817.0,0.81,71506.0,58516096.4,56.77,14.3914039105161
470.0,2023-02-06,805.1,831.0,805.1,828.0,1.35,78309.0,64573061.2,56.77,14.5851682226528
469.0,2023-02-07,815.1,839.5,815.1,835.0,0.85,154737.0,129242726.9,56.77,14.7084727849216
468.0,2023-02-08,848.6,852.0,834.0,835.0,0.0,97610.0,81880515.4,56.77,14.7084727849216
467.0,2023-02-09,834.0,841.8,830.0,840.0,0.6,49992.0,41759853.3,56.77,14.7965474722565
466.0,2023-02-12,825.0,835.0,817.0,820.9,-2.27,93577.0,77125437.0,56.77,14.4601021666373
465.0,2023-02-14,817.1,821.0,810.2,815.5,-0.66,84726.0,69070448.3,56.77,14.3649815043157
464.0,2023-02-15,810.1,821.0,810.1,817.0,0.18,57530.0,46905929.6,56.77,14.3914039105161
463.0,2023-02-16,810.0,818.0,810.0,811.5,-0.67,45965.0,37384423.4,56.77,14.2945217544478
462.0,2023-02-20,809.0,819.9,798.0,815.0,0.43,68598.0,55591201.5,56.77,14.3561740355822
461.0,2023-02-22,821.0,821.0,808.0,818.0,0.37,55398.0,45217636.9,56.77,14.4090188479831
460.0,2023-02-23,808.0,815.0,803.4,814.0,-0.49,98136.0,79641532.0,56.77,14.3385590981152
459.0,2023-02-26,810.1,815.0,793.8,810.0,-0.49,98067.0,78667922.7,56.77,14.2680993482473
458.0,2023-02-27,810.0,820.0,801.1,812.0,0.25,62896.0,50828934.7,56.77,14.3033292231813
457.0,2023-02-28,801.0,815.5,801.0,811.5,-0.06,37309.0,30300347.2,56.77,14.2945217544478
456.0,2023-03-01,805.1,815.0,804.1,806.0,-0.68,40211.0,32483338.3,56.77,14.1976395983794
455.0,2023-03-02,806.0,806.0,798.1,800.0,-0.74,54595.0,43729649.1,56.77,14.0919499735776
454.0,2023-03-05,813.0,813.0,792.2,794.0,-0.75,32917.0,26192401.9,56.77,13.9862603487758
453.0,2023-03-07,795.0,801.0,788.0,796.0,0.25,38109.0,30219184.5,56.77,14.0214902237097
452.0,2023-03-09,791.0,810.0,791.0,808.0,1.51,28688.0,23110049.9,56.77,14.2328694733134
451.0,2023-03-12,820.0,822.0,797.0,798.0,-1.24,31706.0,25407342.8,56.77,14.0567200986436
450.0,2023-03-13,800.0,813.0,776.9,777.0,-2.63,79814.0,62456745.3,56.77,13.6868064118372
449.0,2023-03-14,782.8,790.0,757.0,764.0,-1.67,136733.0,104824125.2,56.77,13.4578122247666
448.0,2023-03-15,772.0,772.0,739.0,748.0,-2.09,138593.0,103522033.1,56.77,13.1759732252951
447.0,2023-03-16,755.0,755.0,736.1,750.0,0.27,66560.0,49492619.8,56.77,13.211203100229
446.0,2023-03-19,755.0,755.0,739.0,742.0,-1.07,53939.0,40084482.0,56.77,13.0702836004932
445.0,2023-03-20,749.0,749.0,731.1,738.0,-0.54,84134.0,61995922.8,56.77,12.9998238506253
444.0,2023-03-22,740.1,740.1,721.0,723.0,-2.03,113311.0,82495494.5,56.77,12.7355997886208
443.0,2023-03-23,729.0,729.0,666.5,686.0,-5.12,314524.0,217464868.1,56.77,12.0838471023428
442.0,2023-03-26,686.0,697.9,680.0,687.0,0.15,115245.0,79519557.9,56.77,12.1014620398098
441.0,2023-03-27,680.0,695.0,675.3,695.0,1.16,57816.0,39597344.5,56.77,12.2423815395455
440.0,2023-03-28,708.0,708.0,688.0,689.0,-0.86,62508.0,43673517.3,56.77,12.1366919147437
439.0,2023-03-29,690.0,694.0,687.0,689.0,0.0,51749.0,35695866.1,56.77,12.1366919147437
438.0,2023-03-30,700.0,700.0,689.0,690.8,0.26,30902.0,21357616.1,56.77,12.1683988021843
437.0,2023-04-02,703.0,719.1,689.0,692.0,0.17,72783.0,50562485.3,56.77,12.1895367271446
436.0,2023-04-03,704.9,704.9,686.0,690.0,-0.29,42504.0,29319710.1,56.77,12.1543068522107
435.0,2023-04-04,700.0,700.0,685.0,696.6,0.96,47314.0,32814535.8,56.77,12.2705654394927
434.0,2023-04-05,699.0,700.0,691.0,696.2,-0.06,26748.0,18613374.6,56.77,12.2635194645059
